SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
SYNCOM, BE, 10-Jul-2019, 1.40, 1.35, 1.40, 1.35, 1.40, 1.40, 1.38, 4276, 0.06, 17, -, -
SYNDIBANK, EQ, 10-Jul-2019, 40.40, 41.20, 41.60, 40.85, 41.15, 41.20, 41.19, 3988496, 1642.93, 11262, 828311, 20.77
SYNGENE, EQ, 10-Jul-2019, 315.55, 313.55, 317.90, 312.20, 313.95, 314.50, 315.57, 41841, 132.04, 3841, 22266, 53.22
TAINWALCHM, EQ, 10-Jul-2019, 52.35, 51.55, 53.00, 51.55, 51.75, 52.70, 52.48, 118, 0.06, 25, 79, 66.95
TAJGVK, EQ, 10-Jul-2019, 192.80, 196.75, 196.75, 183.75, 185.50, 186.65, 186.53, 12459, 23.24, 460, 4938, 39.63
TAKE, EQ, 10-Jul-2019, 121.35, 121.10, 122.90, 120.05, 121.35, 121.30, 121.56, 66873, 81.29, 2763, 45667, 68.29
TALBROAUTO, EQ, 10-Jul-2019, 143.40, 144.50, 146.05, 142.20, 144.00, 142.45, 143.78, 1998, 2.87, 166, 1276, 63.86
TALWALKARS, EQ, 10-Jul-2019, 51.65, 51.50, 52.95, 49.85, 50.50, 50.80, 50.66, 92195, 46.71, 546, 75288, 81.66
TALWGYM, EQ, 10-Jul-2019, 100.85, 104.00, 105.55, 99.05, 99.60, 101.65, 102.31, 77170, 78.95, 1337, 24140, 31.28
TANLA, EQ, 10-Jul-2019, 67.25, 68.10, 70.60, 68.10, 70.60, 70.60, 70.32, 941565, 662.13, 3071, 448930, 47.68
TARAJEWELS, BE, 10-Jul-2019, 0.90, 0.85, 0.90, 0.85, 0.90, 0.90, 0.86, 4200, 0.04, 12, -, -
TARAPUR, EQ, 10-Jul-2019, 6.75, 6.45, 6.45, 6.45, 6.45, 6.45, 6.45, 52, 0.00, 2, 52, 100.00
TARMAT, EQ, 10-Jul-2019, 31.10, 32.00, 32.00, 30.95, 30.95, 30.95, 31.28, 1156, 0.36, 37, 982, 84.95
TASTYBITE, EQ, 10-Jul-2019, 8577.70, 8799.90, 10280.00, 8671.15, 9450.00, 9578.95, 9574.17, 4434, 424.52, 1706, 1719, 38.77
TATACHEM, EQ, 10-Jul-2019, 593.80, 598.20, 600.95, 589.00, 594.80, 594.65, 596.57, 615842, 3673.93, 13933, 301085, 48.89
TATACOFFEE, EQ, 10-Jul-2019, 78.05, 78.25, 78.70, 76.45, 77.00, 77.20, 77.32, 120656, 93.29, 1568, 44477, 36.86
TATACOMM, EQ, 10-Jul-2019, 449.35, 446.00, 468.85, 442.00, 465.95, 463.60, 457.78, 466900, 2137.36, 17343, 179329, 38.41
TATAELXSI, EQ, 10-Jul-2019, 853.90, 850.00, 865.55, 846.00, 849.15, 849.65, 854.47, 243879, 2083.88, 10911, 54657, 22.41
TATAGLOBAL, EQ, 10-Jul-2019, 263.55, 263.30, 264.70, 250.30, 251.45, 251.65, 255.68, 2861877, 7317.13, 34410, 993113, 34.70
TATAINVEST, EQ, 10-Jul-2019, 874.20, 871.25, 880.45, 871.25, 876.90, 873.55, 874.17, 8756, 76.54, 610, 6541, 74.70
TATAMETALI, EQ, 10-Jul-2019, 588.95, 590.50, 595.00, 576.50, 580.40, 580.20, 581.58, 8150, 47.40, 893, 4461, 54.74
TATAMOTORS, EQ, 10-Jul-2019, 155.80, 156.25, 156.25, 149.10, 151.90, 151.65, 151.34, 31737846, 48031.70, 158316, 6913605, 21.78
TATAMTRDVR, EQ, 10-Jul-2019, 74.80, 75.45, 75.45, 71.60, 73.15, 73.10, 72.78, 4616241, 3359.80, 22237, 1068811, 23.15
TATAPOWER, EQ, 10-Jul-2019, 68.50, 68.95, 69.10, 66.10, 66.30, 66.35, 66.98, 6342661, 4248.56, 17606, 2455048, 38.71
TATASPONGE, EQ, 10-Jul-2019, 507.25, 509.50, 512.50, 503.60, 504.00, 504.40, 507.47, 52293, 265.37, 1950, 21721, 41.54
TATASTEEL, E1, 10-Jul-2019, 58.35, 58.90, 59.50, 55.00, 56.50, 56.45, 57.10, 321578, 183.63, 2290, 153240, 47.65
TATASTEEL, EQ, 10-Jul-2019, 468.45, 469.50, 474.35, 448.05, 454.15, 454.80, 458.54, 13481344, 61817.55, 191917, 3001803, 22.27
TATASTLBSL, EQ, 10-Jul-2019, 29.00, 28.75, 29.50, 27.85, 28.30, 28.30, 28.51, 989905, 282.21, 1603, 646959, 65.36
TBZ, EQ, 10-Jul-2019, 42.15, 42.00, 43.70, 41.10, 41.60, 41.85, 42.61, 33351, 14.21, 498, 18519, 55.53
